Date,Product,Week_Number,Demand,Promotion,Price
2024-01-07,Product_001,0,214.0,0,109
2024-01-07,Product_002,0,443.0,0,89
2024-01-07,Product_003,0,443.0,1,109
2024-01-07,Product_004,0,197.0,0,99
2024-01-07,Product_005,0,142.0,0,99
2024-01-07,Product_006,0,259.0,0,99
2024-01-07,Product_007,0,105.0,0,99
2024-01-07,Product_008,0,144.0,0,79
2024-01-07,Product_009,0,167.0,0,79
2024-01-07,Product_010,0,368.0,1,119
2024-01-14,Product_001,1,165.0,0,89
2024-01-14,Product_002,1,443.0,0,109
2024-01-14,Product_003,1,441.0,1,109
2024-01-14,Product_004,1,161.0,0,79
2024-01-14,Product_005,1,238.0,1,109
2024-01-14,Product_006,1,269.0,0,79
2024-01-14,Product_007,1,103.0,0,119
2024-01-14,Product_008,1,204.0,1,89
2024-01-14,Product_009,1,194.0,0,119
2024-01-14,Product_010,1,302.0,0,99
2024-01-21,Product_001,2,166.0,0,99
2024-01-21,Product_002,2,453.0,0,99
2024-01-21,Product_003,2,352.0,0,119
2024-01-21,Product_004,2,188.0,0,109
2024-01-21,Product_005,2,188.0,1,89
2024-01-21,Product_006,2,316.0,0,99
2024-01-21,Product_007,2,104.0,0,99
2024-01-21,Product_008,2,168.0,0,99
2024-01-21,Product_009,2,225.0,0,89
2024-01-21,Product_010,2,281.0,0,99
2024-01-28,Product_001,3,256.0,1,89
2024-01-28,Product_002,3,414.0,0,99
2024-01-28,Product_003,3,344.0,0,119
2024-01-28,Product_004,3,201.0,0,119
2024-01-28,Product_005,3,175.0,0,89
2024-01-28,Product_006,3,287.0,0,119
2024-01-28,Product_007,3,104.0,0,89
2024-01-28,Product_008,3,187.0,0,119
2024-01-28,Product_009,3,183.0,0,119
2024-01-28,Product_010,3,297.0,0,89
2024-02-04,Product_001,4,187.0,0,109
2024-02-04,Product_002,4,483.0,0,119
2024-02-04,Product_003,4,384.0,0,99
2024-02-04,Product_004,4,165.0,0,109
2024-02-04,Product_005,4,169.0,0,89
2024-02-04,Product_006,4,281.0,0,109
2024-02-04,Product_007,4,94.0,0,79
2024-02-04,Product_008,4,208.0,0,79
2024-02-04,Product_009,4,237.0,0,119
2024-02-04,Product_010,4,336.0,0,119
2024-02-11,Product_001,5,183.0,0,99
2024-02-11,Product_002,5,602.0,1,109
2024-02-11,Product_003,5,390.0,0,79
2024-02-11,Product_004,5,223.0,0,119
2024-02-11,Product_005,5,156.0,0,109
2024-02-11,Product_006,5,290.0,0,119
2024-02-11,Product_007,5,87.0,0,119
2024-02-11,Product_008,5,229.0,1,79
2024-02-11,Product_009,5,237.0,0,79
2024-02-11,Product_010,5,349.0,0,119
2024-02-18,Product_001,6,201.0,0,89
2024-02-18,Product_002,6,645.0,1,119
2024-02-18,Product_003,6,397.0,0,119
2024-02-18,Product_004,6,194.0,0,99
2024-02-18,Product_005,6,175.0,0,99
2024-02-18,Product_006,6,329.0,0,99
2024-02-18,Product_007,6,144.0,1,89
2024-02-18,Product_008,6,304.0,1,89
2024-02-18,Product_009,6,171.0,0,119
2024-02-18,Product_010,6,447.0,1,99
2024-02-25,Product_001,7,207.0,0,89
2024-02-25,Product_002,7,620.0,1,79
2024-02-25,Product_003,7,397.0,0,119
2024-02-25,Product_004,7,170.0,0,109
2024-02-25,Product_005,7,166.0,0,119
2024-02-25,Product_006,7,309.0,0,109
2024-02-25,Product_007,7,142.0,0,99
2024-02-25,Product_008,7,195.0,0,109
2024-02-25,Product_009,7,211.0,0,99
2024-02-25,Product_010,7,322.0,0,79
2024-03-03,Product_001,8,226.0,0,109
2024-03-03,Product_002,8,495.0,0,119
2024-03-03,Product_003,8,506.0,1,99
2024-03-03,Product_004,8,223.0,0,119
2024-03-03,Product_005,8,174.0,0,89
2024-03-03,Product_006,8,325.0,0,99
2024-03-03,Product_007,8,130.0,1,109
2024-03-03,Product_008,8,201.0,0,99
